INFRASA,Trab.,Matricula,Peso,Aviación,Aerolinea Av.,Vuelo,Tarjeta,Fecha,Hora,Dest./Or.,Nombre Dest./Or.
30518,SKPE,HK5305,78000,Comercial,FAST COLOMBIA S.A.S,8287,Entrada,01/02/2020 12:00:00 AM,10:27,SKCG,CARTAGENA
30519,SKPE,HK5070,18600,Comercial,EFY,7777,Entrada,01/02/2020 12:00:00 AM,10:55,SKVV,VILLAVICENCIO
30520,SKPE,HK5222,77000,Comercial,FAST COLOMBIA S.A.S,6768,Entrada,01/02/2020 12:00:00 AM,11:00,SKBO,BOGOTA
30521,SKPE,HK5322,23000,Comercial,EFY,9106,Entrada,01/02/2020 12:00:00 AM,11:30,SKBO,BOGOTA
30523,SKPE,N728AV,77000,Comercial,AVA,9805,Entrada,01/02/2020 12:00:00 AM,11:27,SKBO,BOGOTA
30524,SKPE,N694AV,75500,Comercial,AVA,8515,Entrada,01/02/2020 12:00:00 AM,13:07,SKBO,BOGOTA
30525,SKPE,CCCOX,70000,Comercial,ARE,4212,Entrada,01/02/2020 12:00:00 AM,13:01,SKBO,BOGOTA
30526,SKPE,HK5313,18600,Comercial,EFY,9056,Entrada,01/02/2020 12:00:00 AM,14:15,SKMD,MEDELLIN
30527,SKPE,N8001N,73029,Comercial,AAL,1135,Entrada,01/02/2020 12:00:00 AM,14:34,KMIA,MIAMI
30528,SKPE,N728AV,77000,Comercial,AVA,8503,Entrada,01/02/2020 12:00:00 AM,15:05,SKBO,BOGOTA
30530,SKPE,HK5331,18600,Comercial,EFY,9058,Entrada,01/02/2020 12:00:00 AM,16:09,SKMD,MEDELLIN
30533,SKPE,N741AV,75500,Comercial,AVA,8517,Entrada,01/02/2020 12:00:00 AM,17:06,SKBO,BOGOTA
30534,SKPE,hp1565,50000,Comercial,RPB,685,Entrada,01/02/2020 12:00:00 AM,17:14,MPTO,TOCUMEN
30535,SKPE,HK5321,18600,Comercial,EFY,9176,Entrada,01/02/2020 12:00:00 AM,18:08,SKMD,MEDELLIN
30536,SKPE,N728AV,77000,Comercial,AVA,9417,Entrada,01/02/2020 12:00:00 AM,18:19,SKBO,BOGOTA
30537,SKPE,HK5327,73500,Comercial,FAST COLOMBIA S.A.S,8070,Entrada,01/02/2020 12:00:00 AM,18:32,SKSM,SANTA MARTA
30538,SKPE,HK5315,11250,Comercial,EFY,6928,Entrada,01/02/2020 12:00:00 AM,18:46,SKCG,CARTAGENA
30539,SKPE,HK5322,23000,Comercial,EFY,9184,Entrada,01/02/2020 12:00:00 AM,18:50,SKBO,BOGOTA
30540,SKPE,HK5319,73500,Comercial,FAST COLOMBIA S.A.S,8091,Entrada,01/02/2020 12:00:00 AM,19:18,SKCG,CARTAGENA
30541,SKPE,N992AV,77000,Comercial,AVA,9831,Entrada,01/02/2020 12:00:00 AM,19:44,SKBO,BOGOTA
30542,SKPE,HK5222,77000,Comercial,FAST COLOMBIA S.A.S,8134,Entrada,01/02/2020 12:00:00 AM,19:49,SKBO,BOGOTA
30543,SKPE,HK5321,18600,Comercial,EFY,7782,Entrada,01/02/2020 12:00:00 AM,20:50,SKRG,RIONEGRO
30544,SKPE,HK5322,23000,Comercial,EFY,9188,Entrada,01/02/2020 12:00:00 AM,21:45,SKBO,BOGOTA
30545,SKPE,HK5294,22800,Comercial,EFY,9186,Entrada,01/02/2020 12:00:00 AM,21:23,SKBO,BOGOTA
30546,SKPE,HK5315,11250,Comercial,EFY,6924,Entrada,01/02/2020 12:00:00 AM,22:53,SKCG,CARTAGENA
30547,SKPE,HP1560,50000,Comercial,RPB,625,Entrada,01/02/2020 12:00:00 AM,23:00,MPTO,TOCUMEN
30548,SKPE,N992AV,77000,Comercial,AVA,9817,Entrada,01/03/2020 12:00:00 AM,00:03,SKBO,BOGOTA
30549,SKPE,N766AV,79000,Comercial,AVA,8539,Entrada,01/03/2020 12:00:00 AM,07:00,SKBO,BOGOTA
30550,SKPE,HK5322,23000,Comercial,EFY,9104,Entrada,01/03/2020 12:00:00 AM,08:00,SKBO,BOGOTA
30551,SKPE,N992AV,77000,Comercial,AVA,8407,Entrada,01/03/2020 12:00:00 AM,08:27,SKBO,BOGOTA
30553,SKPE,HK5315,11250,Comercial,EFY,6926,Entrada,01/03/2020 12:00:00 AM,09:31,SKCG,CARTAGENA
30554,SKPE,HK5318,73500,Comercial,FAST COLOMBIA S.A.S,8287,Entrada,01/03/2020 12:00:00 AM,09:52,SKCG,CARTAGENA
30555,SKPE,HK5282,18600,Comercial,EFY,9052,Entrada,01/03/2020 12:00:00 AM,09:59,SKMD,MEDELLIN
30556,SKPE,N766AV,79000,Comercial,AVA,8511,Entrada,01/03/2020 12:00:00 AM,10:10,SKBO,BOGOTA
30557,SKPE,HK5322,23000,Comercial,EFY,9106,Entrada,01/03/2020 12:00:00 AM,10:30,SKBO,BOGOTA
30558,SKPE,HK5266,17894,Comercial,EFY,6968,Entrada,01/03/2020 12:00:00 AM,10:50,SKBG,BUCARAMANGA
30559,SKPE,HK5327,73500,Comercial,FAST COLOMBIA S.A.S,6768,Entrada,01/03/2020 12:00:00 AM,11:18,SKBO,BOGOTA
30560,SKPE,N992AV,77000,Comercial,AVA,9805,Entrada,01/03/2020 12:00:00 AM,11:30,SKBO,BOGOTA
30563,SKPE,N766AV,79000,Comercial,AVA,8515,Entrada,01/03/2020 12:00:00 AM,13:10,SKBO,BOGOTA
30564,SKPE,HK5331,18600,Comercial,EFY,9056,Entrada,01/03/2020 12:00:00 AM,13:20,SKMD,MEDELLIN
30565,SKPE,CCCPE,70000,Comercial,ARE,4212,Entrada,01/03/2020 12:00:00 AM,13:57,SKBO,BOGOTA
30566,SKPE,N992AV,77000,Comercial,AVA,8503,Entrada,01/03/2020 12:00:00 AM,14:58,SKBO,BOGOTA
30567,SKPE,HK5331,18600,Comercial,EFY,9058,Entrada,01/03/2020 12:00:00 AM,15:38,SKMD,MEDELLIN
30568,SKPE,N691AV,75500,Comercial,AVA,8517,Entrada,01/03/2020 12:00:00 AM,17:33,SKBO,BOGOTA
30569,SKPE,N992AV,77000,Comercial,AVA,9417,Entrada,01/03/2020 12:00:00 AM,18:00,SKBO,BOGOTA
30570,SKPE,hk5320,73500,Comercial,FAST COLOMBIA S.A.S,6781,Entrada,01/03/2020 12:00:00 AM,18:10,SKCG,CARTAGENA
30571,SKPE,HK5319,73500,Comercial,FAST COLOMBIA S.A.S,8038,Entrada,01/03/2020 12:00:00 AM,18:38,SKSM,SANTA MARTA
30572,SKPE,hk5293,22800,Comercial,EFY,9184,Entrada,01/03/2020 12:00:00 AM,18:30,SKBO,BOGOTA
30573,SKPE,hk5335,73500,Comercial,FAST COLOMBIA S.A.S,8091,Entrada,01/03/2020 12:00:00 AM,19:12,SKCG,CARTAGENA
30574,SKPE,HK5315,11250,Comercial,EFY,6928,Entrada,01/03/2020 12:00:00 AM,18:28,SKCG,CARTAGENA
30577,SKPE,HK5341,11250,Comercial,EFY,7782,Entrada,01/03/2020 12:00:00 AM,20:01,SKRG,RIONEGRO
30578,SKPE,N766AV,79000,Comercial,AVA,9831,Entrada,01/03/2020 12:00:00 AM,20:12,SKBO,BOGOTA
30579,SKPE,HK5294,22800,Comercial,EFY,9186,Entrada,01/03/2020 12:00:00 AM,20:50,SKBO,BOGOTA
30580,SKPE,hk5293,22800,Comercial,EFY,9188,Entrada,01/03/2020 12:00:00 AM,21:38,SKBO,BOGOTA
30581,SKPE,HK5341,11250,Comercial,EFY,7786,Entrada,01/03/2020 12:00:00 AM,22:23,SKRG,RIONEGRO
30582,SKPE,HK5315,11250,Comercial,EFY,6924,Entrada,01/03/2020 12:00:00 AM,22:56,SKCG,CARTAGENA
30583,SKPE,N939AV,77000,Comercial,AVA,9817,Entrada,01/03/2020 12:00:00 AM,23:02,SKBO,BOGOTA
30584,SKPE,HP1558,50000,Comercial,RPB,625,Entrada,01/03/2020 12:00:00 AM,23:16,MPTO,TOCUMEN
30585,SKPE,N939AV,77000,Comercial,AVA,9857,Entrada,01/04/2020 12:00:00 AM,05:28,SKSP,SAN ANDRES
30586,SKPE,HK5070,18600,Comercial,EFY,9050,Entrada,01/04/2020 12:00:00 AM,06:45,SKMD,MEDELLIN
30587,SKPE,N416AV,77000,Comercial,AVA,8407,Entrada,01/04/2020 12:00:00 AM,08:50,SKBO,BOGOTA
30588,SKPE,HK5315,11250,Comercial,EFY,6926,Entrada,01/04/2020 12:00:00 AM,09:35,SKCG,CARTAGENA
30589,SKPE,HK5331,18600,Comercial,EFY,9052,Entrada,01/04/2020 12:00:00 AM,09:40,SKMD,MEDELLIN
30590,SKPE,hk5293,22800,Comercial,EFY,9106,Entrada,01/04/2020 12:00:00 AM,10:26,SKBO,BOGOTA
30591,SKPE,HK5327,73500,Comercial,FAST COLOMBIA S.A.S,8287,Entrada,01/04/2020 12:00:00 AM,10:01,SKCG,CARTAGENA
30592,SKPE,N766AV,79000,Comercial,AVA,8511,Entrada,01/04/2020 12:00:00 AM,10:37,SKBO,BOGOTA
30593,SKPE,HK5305,78000,Comercial,FAST COLOMBIA S.A.S,6768,Entrada,01/04/2020 12:00:00 AM,11:10,SKBO,BOGOTA
30594,SKPE,N416AV,77000,Comercial,AVA,9805,Entrada,01/04/2020 12:00:00 AM,11:50,SKBO,BOGOTA
30595,SKPE,HK5236,18600,Comercial,EFY,7777,Entrada,01/04/2020 12:00:00 AM,13:16,SKVV,VILLAVICENCIO
30601,SKPE,HK5071,17894,Comercial,EFY,9056,Entrada,01/04/2020 12:00:00 AM,14:20,SKMD,MEDELLIN
30602,SKPE,HK5322,23000,Comercial,EFY,7752,Entrada,01/04/2020 12:00:00 AM,15:17,SKBO,BOGOTA
30603,SKPE,N766AV,79000,Comercial,AVA,8515,Entrada,01/04/2020 12:00:00 AM,14:30,SKBO,BOGOTA
30604,SKPE,N416AV,77000,Comercial,AVA,8503,Entrada,01/04/2020 12:00:00 AM,15:29,SKBO,BOGOTA
30605,SKPE,HK5341,11250,Comercial,EFY,9058,Entrada,01/04/2020 12:00:00 AM,15:43,SKMD,MEDELLIN
30606,SKPE,hp1565,50000,Comercial,RPB,685,Entrada,01/04/2020 12:00:00 AM,17:10,MPTO,TOCUMEN
30607,SKPE,N567AV,77000,Comercial,AVA,8517,Entrada,01/04/2020 12:00:00 AM,17:33,SKBO,BOGOTA
30608,SKPE,HK5307,73500,Comercial,FAST COLOMBIA S.A.S,8289,Entrada,01/04/2020 12:00:00 AM,17:45,SKCG,CARTAGENA
30609,SKPE,HK5315,11250,Comercial,EFY,6928,Entrada,01/04/2020 12:00:00 AM,18:15,SKCG,CARTAGENA
30610,SKPE,HK5318,73500,Comercial,FAST COLOMBIA S.A.S,8070,Entrada,01/04/2020 12:00:00 AM,18:33,SKSM,SANTA MARTA
30611,SKPE,N416AV,77000,Comercial,AVA,9417,Entrada,01/04/2020 12:00:00 AM,18:39,SKBO,BOGOTA
30612,SKPE,CCCPE,70000,Comercial,ARE,4210,Entrada,01/04/2020 12:00:00 AM,19:09,SKBO,BOGOTA
30613,SKPE,HK5275,73500,Comercial,FAST COLOMBIA S.A.S,8091,Entrada,01/04/2020 12:00:00 AM,19:17,SKCG,CARTAGENA
30614,SKPE,HK5308,73500,Comercial,FAST COLOMBIA S.A.S,8134,Entrada,01/04/2020 12:00:00 AM,19:47,SKBO,BOGOTA
30615,SKPE,HK4955,23000,Comercial,AVA,8403,Entrada,01/04/2020 12:00:00 AM,19:43,SKBO,BOGOTA
30616,SKPE,HK5294,22800,Comercial,EFY,9184,Entrada,01/04/2020 12:00:00 AM,19:51,SKBO,BOGOTA
30617,SKPE,N664AV,77000,Comercial,AVA,9831,Entrada,01/04/2020 12:00:00 AM,19:54,SKBO,BOGOTA
30619,SKPE,HK5322,23000,Comercial,EFY,9186,Entrada,01/04/2020 12:00:00 AM,21:38,SKBO,BOGOTA
30620,SKPE,HK5315,11250,Comercial,EFY,6924,Entrada,01/04/2020 12:00:00 AM,22:43,SKCG,CARTAGENA
30621,SKPE,HP1540,50000,Comercial,RPB,625,Entrada,01/04/2020 12:00:00 AM,23:12,MPTO,TOCUMEN
30622,SKPE,N939AV,77000,Comercial,AVA,9817,Entrada,01/04/2020 12:00:00 AM,23:26,SKBO,BOGOTA
30623,SKPE,N939AV,77000,Comercial,AVA,9857,Entrada,01/05/2020 12:00:00 AM,05:19,SKSP,SAN ANDRES
30624,SKPE,HK5274,73500,Comercial,FAST COLOMBIA S.A.S,8331,Entrada,01/05/2020 12:00:00 AM,06:42,SKLT,LETICIA
30625,SKPE,HK5318,73500,Comercial,FAST COLOMBIA S.A.S,8327,Entrada,01/05/2020 12:00:00 AM,07:01,SKSP,SAN ANDRES
30626,SKPE,N939AV,77000,Comercial,AVA,8407,Entrada,01/05/2020 12:00:00 AM,09:06,SKBO,BOGOTA
30628,SKPE,HK5305,78000,Comercial,FAST COLOMBIA S.A.S,8287,Entrada,01/05/2020 12:00:00 AM,09:39,SKCG,CARTAGENA
30629,SKPE,N398AV,77000,Comercial,AVA,8511,Entrada,01/05/2020 12:00:00 AM,09:58,SKBO,BOGOTA
30631,SKPE,N939AV,77000,Comercial,AVA,9805,Entrada,01/05/2020 12:00:00 AM,12:09,SKBO,BOGOTA
30632,SKPE,HK5237,18600,Comercial,EFY,9108,Entrada,01/05/2020 12:00:00 AM,11:50,SKBO,BOGOTA
30633,SKPE,HK5308,73500,Comercial,FAST COLOMBIA S.A.S,6768,Entrada,01/05/2020 12:00:00 AM,12:20,SKBO,BOGOTA
30634,SKPE,HK5266,17894,Comercial,EFY,9054,Entrada,01/05/2020 12:00:00 AM,13:05,SKMD,MEDELLIN
30635,SKPE,N398AV,77000,Comercial,AVA,8515,Entrada,01/05/2020 12:00:00 AM,13:23,SKBO,BOGOTA
30637,SKPE,N70020,73029,Comercial,AAL,1135,Entrada,01/05/2020 12:00:00 AM,15:08,KMIA,MIAMI
30638,SKPE,N939AV,77000,Comercial,AVA,8503,Entrada,01/05/2020 12:00:00 AM,15:15,SKBO,BOGOTA
30639,SKPE,hk5293,22800,Comercial,EFY,7752,Entrada,01/05/2020 12:00:00 AM,15:30,SKBO,BOGOTA
30640,SKPE,HK5310,18600,Comercial,EFY,9058,Entrada,01/05/2020 12:00:00 AM,15:35,SKMD,MEDELLIN
30641,SKPE,HK5266,17894,Comercial,EFY,9056,Entrada,01/05/2020 12:00:00 AM,15:40,SKMD,MEDELLIN
30642,SKPE,HP1569,50000,Comercial,RPB,685,Entrada,01/05/2020 12:00:00 AM,17:07,MPTO,TOCUMEN
30643,SKPE,N647AV,75500,Comercial,AVA,8517,Entrada,01/05/2020 12:00:00 AM,17:19,SKBO,BOGOTA
30644,SKPE,HK5315,11250,Comercial,EFY,6928,Entrada,01/05/2020 12:00:00 AM,18:10,SKCG,CARTAGENA
30645,SKPE,HK5305,78000,Comercial,FAST COLOMBIA S.A.S,6781,Entrada,01/05/2020 12:00:00 AM,18:18,SKCG,CARTAGENA
30646,SKPE,hk5293,22800,Comercial,EFY,9184,Entrada,01/05/2020 12:00:00 AM,18:46,SKBO,BOGOTA
30647,SKPE,HK5308,73500,Comercial,FAST COLOMBIA S.A.S,8038,Entrada,01/05/2020 12:00:00 AM,18:50,SKSM,SANTA MARTA
30648,SKPE,HK5318,73500,Comercial,FAST COLOMBIA S.A.S,8091,Entrada,01/05/2020 12:00:00 AM,19:00,SKCG,CARTAGENA
30649,SKPE,N345AV,77000,Comercial,AVA,9831,Entrada,01/05/2020 12:00:00 AM,19:25,SKBO,BOGOTA
30652,SKPE,hk5323,23000,Comercial,AVA,8403,Entrada,01/05/2020 12:00:00 AM,20:49,SKBO,BOGOTA
30653,SKPE,CCBAQ,73500,Comercial,ARE,4210,Entrada,01/05/2020 12:00:00 AM,21:36,SKBO,BOGOTA
30654,SKPE,hk5293,22800,Comercial,EFY,9188,Entrada,01/05/2020 12:00:00 AM,22:00,SKBO,BOGOTA
30655,SKPE,HK5315,11250,Comercial,EFY,6924,Entrada,01/05/2020 12:00:00 AM,22:54,SKCG,CARTAGENA
30656,SKPE,HP1559,50000,Comercial,RPB,625,Entrada,01/05/2020 12:00:00 AM,23:10,MPTO,TOCUMEN
30657,SKPE,N345AV,77000,Comercial,AVA,9817,Entrada,01/05/2020 12:00:00 AM,23:17,SKBO,BOGOTA
30658,SKPE,N284AV,77000,Comercial,AVA,8539,Entrada,01/06/2020 12:00:00 AM,06:34,SKBO,BOGOTA
30659,SKPE,N345AV,77000,Comercial,AVA,8407,Entrada,01/06/2020 12:00:00 AM,08:10,SKBO,BOGOTA
30661,SKPE,HK5315,11250,Comercial,EFY,6926,Entrada,01/06/2020 12:00:00 AM,09:41,SKCG,CARTAGENA
30662,SKPE,N284AV,77000,Comercial,AVA,8511,Entrada,01/06/2020 12:00:00 AM,09:45,SKBO,BOGOTA
30663,SKPE,hk5320,73500,Comercial,FAST COLOMBIA S.A.S,8287,Entrada,01/06/2020 12:00:00 AM,10:36,SKCG,CARTAGENA
30664,SKPE,HK5275,73500,Comercial,FAST COLOMBIA S.A.S,6768,Entrada,01/06/2020 12:00:00 AM,11:10,SKBO,BOGOTA
30665,SKPE,HK5070,18600,Comercial,EFY,7777,Entrada,01/06/2020 12:00:00 AM,11:27,SKVV,VILLAVICENCIO
30666,SKPE,HK5292,22800,Comercial,EFY,9108,Entrada,01/06/2020 12:00:00 AM,11:52,SKBO,BOGOTA
30667,SKPE,N345AV,77000,Comercial,AVA,9805,Entrada,01/06/2020 12:00:00 AM,11:31,SKBO,BOGOTA
30668,SKPE,N284AV,77000,Comercial,AVA,8515,Entrada,01/06/2020 12:00:00 AM,13:09,SKBO,BOGOTA
30669,SKPE,HK5236,18600,Comercial,EFY,9056,Entrada,01/06/2020 12:00:00 AM,13:25,SKMD,MEDELLIN
30670,SKPE,N345AV,77000,Comercial,AVA,8503,Entrada,01/06/2020 12:00:00 AM,15:00,SKBO,BOGOTA
30671,SKPE,HK5236,18600,Comercial,EFY,9058,Entrada,01/06/2020 12:00:00 AM,15:25,SKMD,MEDELLIN
30672,SKPE,N741AV,75500,Comercial,AVA,8517,Entrada,01/06/2020 12:00:00 AM,17:16,SKBO,BOGOTA
30673,SKPE,hp1565,50000,Comercial,RPB,685,Entrada,01/06/2020 12:00:00 AM,17:11,MPTO,TOCUMEN
30674,SKPE,HK5236,18600,Comercial,EFY,9176,Entrada,01/06/2020 12:00:00 AM,17:36,SKMD,MEDELLIN
30675,SKPE,N345AV,77000,Comercial,AVA,9417,Entrada,01/06/2020 12:00:00 AM,17:59,SKBO,BOGOTA
30676,SKPE,hk5293,22800,Comercial,EFY,9184,Entrada,01/06/2020 12:00:00 AM,18:05,SKBO,BOGOTA
30677,SKPE,HK5315,11250,Comercial,EFY,6928,Entrada,01/06/2020 12:00:00 AM,18:24,SKCG,CARTAGENA
30681,SKPE,hk5335,73500,Comercial,FAST COLOMBIA S.A.S,8038,Entrada,01/06/2020 12:00:00 AM,18:41,SKSM,SANTA MARTA
30682,SKPE,HK5308,73500,Comercial,FAST COLOMBIA S.A.S,8091,Entrada,01/06/2020 12:00:00 AM,19:30,SKCG,CARTAGENA
30683,SKPE,CCBFB,73500,Comercial,ARE,4210,Entrada,01/06/2020 12:00:00 AM,19:34,SKBO,BOGOTA
30684,SKPE,N284AV,77000,Comercial,AVA,9831,Entrada,01/06/2020 12:00:00 AM,19:58,SKBO,BOGOTA
30685,SKPE,HK5236,18600,Comercial,EFY,7786,Entrada,01/06/2020 12:00:00 AM,20:10,SKRG,RIONEGRO
30686,SKPE,HK5319,73500,Comercial,FAST COLOMBIA S.A.S,8134,Entrada,01/06/2020 12:00:00 AM,20:54,SKBO,BOGOTA
30687,SKPE,HK5282,18600,Comercial,EFY,9186,Entrada,01/06/2020 12:00:00 AM,20:49,SKBO,BOGOTA
30689,SKPE,HK5292,22800,Comercial,EFY,7756,Entrada,01/06/2020 12:00:00 AM,21:56,SKBO,BOGOTA
30691,SKPE,HP1564,50000,Comercial,RPB,625,Entrada,01/06/2020 12:00:00 AM,23:05,MPTO,TOCUMEN
30692,SKPE,N284AV,77000,Comercial,AVA,9817,Entrada,01/06/2020 12:00:00 AM,23:23,SKBO,BOGOTA
30693,SKPE,HK5236,18600,Comercial,EFY,6970,Entrada,01/06/2020 12:00:00 AM,23:30,SKBG,BUCARAMANGA
30694,SKPE,hk5293,22800,Comercial,EFY,9188,Entrada,01/06/2020 12:00:00 AM,22:24,SKBO,BOGOTA
30695,SKPE,HK5315,11250,Comercial,EFY,6924,Entrada,01/06/2020 12:00:00 AM,22:48,SKCG,CARTAGENA
30696,SKPE,HK5266,17894,Comercial,EFY,9050,Entrada,01/07/2020 12:00:00 AM,06:43,SKMD,MEDELLIN
30697,SKPE,N743AV,77000,Comercial,AVA,8539,Entrada,01/07/2020 12:00:00 AM,06:50,SKBO,BOGOTA
30698,SKPE,hk5293,22800,Comercial,EFY,9104,Entrada,01/07/2020 12:00:00 AM,07:46,SKBO,BOGOTA
30699,SKPE,N284AV,77000,Comercial,AVA,8407,Entrada,01/07/2020 12:00:00 AM,08:04,SKBO,BOGOTA
30700,SKPE,HK5331,18600,Comercial,EFY,9052,Entrada,01/07/2020 12:00:00 AM,09:36,SKMD,MEDELLIN
30701,SKPE,N567AV,77000,Comercial,AVA,8511,Entrada,01/07/2020 12:00:00 AM,09:40,SKBO,BOGOTA
30702,SKPE,HK5236,18600,Comercial,EFY,6926,Entrada,01/07/2020 12:00:00 AM,09:44,SKCG,CARTAGENA
30703,SKPE,hk5293,22800,Comercial,EFY,9106,Entrada,01/07/2020 12:00:00 AM,10:38,SKBO,BOGOTA
30704,SKPE,HK5070,18600,Comercial,EFY,7777,Entrada,01/07/2020 12:00:00 AM,10:26,SKVV,VILLAVICENCIO
30705,SKPE,hk5276,73500,Comercial,FAST COLOMBIA S.A.S,8287,Entrada,01/07/2020 12:00:00 AM,10:42,SKCG,CARTAGENA
30706,SKPE,HK5318,73500,Comercial,FAST COLOMBIA S.A.S,6768,Entrada,01/07/2020 12:00:00 AM,11:11,SKBO,BOGOTA
30707,SKPE,N284AV,77000,Comercial,AVA,9805,Entrada,01/07/2020 12:00:00 AM,11:33,SKBO,BOGOTA
30709,SKPE,N345AV,77000,Comercial,AVA,8515,Entrada,01/07/2020 12:00:00 AM,12:57,SKBO,BOGOTA
30711,SKPE,N93003,73029,Comercial,AAL,1135,Entrada,01/07/2020 12:00:00 AM,14:32,KMIA,MIAMI
30712,SKPE,N284AV,77000,Comercial,AVA,8503,Entrada,01/07/2020 12:00:00 AM,15:05,SKBO,BOGOTA
30713,SKPE,HK5331,18600,Comercial,EFY,9058,Entrada,01/07/2020 12:00:00 AM,16:08,SKMD,MEDELLIN
30715,SKPE,N691AV,75500,Comercial,AVA,8517,Entrada,01/07/2020 12:00:00 AM,17:05,SKBO,BOGOTA
30716,SKPE,HK5266,17894,Comercial,EFY,9176,Entrada,01/07/2020 12:00:00 AM,17:38,SKMD,MEDELLIN
